transaction_id,account_id,transaction_date,amount,transaction_type,merchant_name,category,status,processed_date
TXN001,ACC001,2024-01-15,250.00,Debit,Amazon,Shopping,Completed,2024-01-15
TXN002,ACC002,2024-01-16,1500.00,Credit,Salary Deposit,Income,Completed,2024-01-16
TXN003,ACC003,2024-01-17,75.50,Debit,Starbucks,Food & Dining,Completed,2024-01-17
TXN004,ACC004,2024-01-18,3000.00,Transfer,Investment Transfer,Investment,Completed,2024-01-18
TXN005,ACC005,2024-01-19,,Debit,Walmart,Shopping,Completed,2024-01-19
TXN006,ACC006,2024-01-20,450.00,Debit,Electric Company,Utilities,Completed,2024-01-20
TXN007,ACC007,2024-01-21,125.00,Debit,Gas Station,Transportation,Pending,2024-01-21
TXN008,ACC008,2024-01-22,5000.00,Credit,Investment Return,Income,Completed,2024-01-22
TXN009,ACC009,2024-01-23,200.00,Debit,Restaurant,Food & Dining,Completed,2024-01-23
TXN010,ACC010,2024-01-24,800.00,Debit,Home Depot,Shopping,Completed,2024-01-24
TXN011,ACC011,2024-01-25,2500.00,Credit,Bonus Payment,Income,Completed,2024-01-25
TXN012,ACC012,2024-01-26,350.00,Debit,Insurance,Insurance,Completed,2024-01-26
TXN013,ACC013,2024-01-27,1200.00,Debit,Rent Payment,Housing,Completed,2024-01-27
TXN014,ACC014,2024-01-28,95.00,Debit,Internet Service,Utilities,Completed,2024-01-28
TXN015,ACC015,2024-01-29,4500.00,Transfer,,Transfer,Failed,2024-01-29
TXN016,ACC016,2024-01-30,175.00,Debit,Pharmacy,Healthcare,Completed,2024-01-30
TXN017,ACC017,2024-01-31,3500.00,Credit,Freelance Payment,Income,Completed,2024-01-31
TXN018,ACC018,2024-02-01,850.00,Debit,Travel Agency,Travel,Completed,2024-02-01
TXN019,ACC019,2024-02-02,125.00,Debit,Gym Membership,Health & Fitness,Completed,2024-02-02
TXN020,ACC020,2024-02-03,600.00,Debit,Department Store,Shopping,Completed,2024-02-03
TXN021,ACC021,2024-02-04,2000.00,Credit,Tax Refund,Income,Completed,2024-02-04
TXN022,ACC022,2024-02-05,450.00,Debit,Car Repair,Transportation,Pending,
TXN023,ACC023,2024-02-06,180.00,Debit,Grocery Store,Food & Dining,Completed,2024-02-06
TXN024,ACC024,2024-02-07,-100.00,Debit,ATM Withdrawal,Cash,Completed,2024-02-07
TXN025,ACC025,2024-02-08,7500.00,Credit,Investment Profit,Income,Completed,2024-02-08
TXN026,ACC026,2024-02-09,275.00,Debit,Mobile Phone,Utilities,Completed,2024-02-09
TXN027,ACC027,2024-02-10,1800.00,Debit,Credit Card Payment,Payment,Completed,2024-02-10
TXN028,ACC028,2024-02-11,425.00,Debit,Clothing Store,Shopping,Completed,2024-02-11
TXN029,ACC029,2024-02-12,650.00,Debit,Electronics Store,Shopping,Completed,2024-02-12
TXN030,ACC030,2024-02-13,1500.00,Credit,Dividend Payment,Income,Completed,2024-02-13
TXN031,ACC001,2024-02-14,250.00,Debit,Amazon,Shopping,Completed,2024-02-14
TXN032,ACC002,2024-02-15,3200.00,Credit,Salary Deposit,Income,Completed,2024-02-15
TXN033,ACC003,2024-02-16,95.75,Debit,Coffee Shop,Food & Dining,Completed,2024-02-16
TXN034,ACC004,2024-12-17,2500.00,Transfer,Savings Transfer,Transfer,Completed,2024-02-17
TXN035,ACC005,2024-02-18,550.00,Debit,Supermarket,Shopping,Completed,2024-02-18
TXN036,ACC006,2024-02-19,385.00,Debit,Water Bill,Utilities,Completed,2024-02-19
TXN037,ACC007,2024-02-20,150.00,Debit,Gas Station,Transportation,Completed,2024-02-20
TXN038,ACC008,2024-02-21,8500.00,Credit,Investment Return,Income,Completed,2024-02-21
TXN039,ACC009,2024-02-22,225.00,Debit,Restaurant,Food & Dining,Pending,2024-02-22
TXN040,ACC010,2024-02-23,950.00,Debit,Furniture Store,Shopping,Completed,2024-02-23
